city_name,date,temp,rain,wind_direction,wind_power,humidity

北京,更新于：2018-08-29 10:20发布,28.9℃,0mm,东北风,3级,37%
延庆,更新于：2018-08-29 10:20发布,25.3℃,0mm,西南风,微风,49%
通州,更新于：2018-08-29 10:20发布,27.6℃,0mm,西北风,微风,43%
顺义,更新于：2018-08-29 10:20发布,28.3℃,0mm,西北风,微风,43%
平谷,更新于：2018-08-29 10:20发布,28.1℃,0mm,西北风,3级,44%
密云,更新于：2018-08-29 10:20发布,28.2℃,0mm,东北风,微风,49%
门头沟,更新于：2018-08-29 10:20发布,29.2℃,0mm,东北风,3级,39%
怀柔,更新于：2018-08-29 10:20发布,28.5℃,0mm,东北风,3级,41%
房山,更新于：2018-08-29 10:20发布,29.1℃,0mm,东北风,3级,41%
大兴,更新于：2018-08-29 10:20发布,29.1℃,0mm,东北风,3级,37%
昌平,更新于：2018-08-29 10:20发布,29.3℃,0mm,西北风,微风,39%
石景山,更新于：2018-08-29 10:20发布,29.3℃,0mm,东北风,3级,37%
海淀,更新于：2018-08-29 10:20发布,30.2℃,0mm,东北风,微风,39%
丰台,更新于：2018-08-29 10:20发布,30.3℃,0mm,东北风,3级,39%
朝阳,更新于：2018-08-29 10:20发布,28.8℃,0mm,东北风,微风,42%
北京,更新于：2018-08-29 11:10发布,29.3℃,0mm,东北风,3级,36%
延庆,更新于：2018-08-29 11:10发布,26.5℃,0mm,西北风,微风,45%
通州,更新于：2018-08-29 11:10发布,28.4℃,0mm,西北风,3级,43%
顺义,更新于：2018-08-29 11:10发布,28.8℃,0mm,东北风,微风,41%
平谷,更新于：2018-08-29 11:10发布,29.2℃,0mm,东北风,3级,44%
密云,更新于：2018-08-29 11:10发布,28.9℃,0mm,东北风,3级,43%
门头沟,更新于：2018-08-29 11:10发布,30.3℃,0mm,东北风,微风,34%
怀柔,更新于：2018-08-29 11:10发布,29.5℃,0mm,东北风,3级,39%
房山,更新于：2018-08-29 11:10发布,30.8℃,0mm,东北风,3级,35%
大兴,更新于：2018-08-29 11:10发布,30.4℃,0mm,东北风,微风,38%
昌平,更新于：2018-08-29 11:10发布,30.4℃,0mm,西北风,微风,36%
石景山,更新于：2018-08-29 11:10发布,30.4℃,0mm,西北风,微风,36%
海淀,更新于：2018-08-29 11:10发布,30.9℃,0mm,东北风,微风,35%
丰台,更新于：2018-08-29 11:10发布,31.3℃,0mm,东北风,微风,32%
朝阳,更新于：2018-08-29 11:10发布,29.5℃,0mm,东北风,微风,39%
北京,更新于：2018-08-29 12:20发布,30.3℃,0mm,东北风,3级,34%
延庆,更新于：2018-08-29 12:20发布,27.4℃,0mm,西北风,微风,45%
通州,更新于：2018-08-29 12:20发布,29.7℃,0mm,西北风,3级,42%
顺义,更新于：2018-08-29 12:20发布,30.1℃,0mm,东北风,微风,34%
平谷,更新于：2018-08-29 12:20发布,30℃,0mm,西北风,微风,41%
密云,更新于：2018-08-29 12:20发布,30℃,0mm,东北风,3级,43%
门头沟,更新于：2018-08-29 12:20发布,31.4℃,0mm,东北风,微风,33%
怀柔,更新于：2018-08-29 12:20发布,30.6℃,0mm,东北风,3级,38%
房山,更新于：2018-08-29 12:20发布,31.8℃,0mm,西北风,3级,33%
大兴,更新于：2018-08-29 12:20发布,31.1℃,0mm,东北风,微风,34%
昌平,更新于：2018-08-29 12:20发布,31.5℃,0mm,西北风,3级,33%
石景山,更新于：2018-08-29 12:20发布,31.4℃,0mm,东北风,微风,37%
海淀,更新于：2018-08-29 12:20发布,32.3℃,0mm,东北风,微风,33%
丰台,更新于：2018-08-29 12:20发布,32.3℃,0mm,东北风,微风,32%
朝阳,更新于：2018-08-29 12:20发布,30.3℃,0mm,东北风,3级,37%
北京,更新于：2018-08-29 13:20发布,30.8℃,0mm,东北风,微风,34%
延庆,更新于：2018-08-29 13:20发布,28.6℃,0mm,西北风,微风,41%
通州,更新于：2018-08-29 13:20发布,30.6℃,0mm,东北风,微风,38%
顺义,更新于：2018-08-29 13:20发布,31.3℃,0mm,东北风,微风,37%
平谷,更新于：2018-08-29 13:20发布,30.7℃,0mm,西南风,微风,39%
密云,更新于：2018-08-29 13:20发布,30.8℃,0mm,东北风,微风,40%
门头沟,更新于：2018-08-29 13:20发布,32.5℃,0mm,东北风,微风,32%
怀柔,更新于：2018-08-29 13:20发布,31.7℃,0mm,东北风,3级,35%
房山,更新于：2018-08-29 13:20发布,32.2℃,0mm,东北风,微风,33%
大兴,更新于：2018-08-29 13:20发布,31.3℃,0mm,东北风,3级,33%
昌平,更新于：2018-08-29 13:20发布,32.2℃,0mm,西南风,微风,36%
石景山,更新于：2018-08-29 13:20发布,31.8℃,0mm,东北风,微风,35%
海淀,更新于：2018-08-29 13:20发布,32.7℃,0mm,东北风,微风,33%
丰台,更新于：2018-08-29 13:20发布,33.2℃,0mm,东北风,微风,32%
朝阳,更新于：2018-08-29 13:20发布,31.3℃,0mm,东北风,3级,36%
北京,更新于：2018-08-29 14:20发布,31.7℃,0mm,东北风,3级,32%
延庆,更新于：2018-08-29 14:20发布,29.7℃,0mm,西北风,微风,38%
通州,更新于：2018-08-29 14:20发布,31.3℃,0mm,东北风,微风,37%
顺义,更新于：2018-08-29 14:20发布,30.9℃,0mm,东南风,微风,36%
平谷,更新于：2018-08-29 14:20发布,31.3℃,0mm,东北风,微风,38%
密云,更新于：2018-08-29 14:20发布,31.2℃,0mm,东北风,微风,40%
门头沟,更新于：2018-08-29 14:20发布,32.4℃,0mm,东南风,微风,31%
怀柔,更新于：2018-08-29 14:20发布,31.9℃,0mm,东南风,微风,37%
房山,更新于：2018-08-29 14:20发布,33.2℃,0mm,东北风,微风,30%
大兴,更新于：2018-08-29 14:20发布,31.8℃,0mm,东南风,3级,34%
昌平,更新于：2018-08-29 14:20发布,32.8℃,0mm,东南风,微风,33%
石景山,更新于：2018-08-29 14:20发布,32.4℃,0mm,东北风,微风,37%
海淀,更新于：2018-08-29 14:20发布,33.2℃,0mm,西北风,微风,33%
丰台,更新于：2018-08-29 14:20发布,33.3℃,0mm,东北风,微风,31%
朝阳,更新于：2018-08-29 14:20发布,32.1℃,0mm,东北风,微风,35%
北京,更新于：2018-08-29 15:20发布,31.8℃,0mm,东北风,微风,33%
延庆,更新于：2018-08-29 15:20发布,29.7℃,0mm,西北风,微风,38%
通州,更新于：2018-08-29 15:20发布,31.4℃,0mm,东北风,3级,34%
顺义,更新于：2018-08-29 15:20发布,31.6℃,0mm,东北风,微风,34%
平谷,更新于：2018-08-29 15:20发布,31.8℃,0mm,东北风,微风,38%
密云,更新于：2018-08-29 15:20发布,31.3℃,0mm,东北风,微风,40%
门头沟,更新于：2018-08-29 15:20发布,32.8℃,0mm,东北风,微风,31%
怀柔,更新于：2018-08-29 15:20发布,31.6℃,0mm,东南风,微风,38%
房山,更新于：2018-08-29 15:20发布,33.5℃,0mm,东南风,微风,30%
大兴,更新于：2018-08-29 15:20发布,31.9℃,0mm,东北风,3级,34%
昌平,更新于：2018-08-29 15:20发布,32.9℃,0mm,东南风,微风,33%
石景山,更新于：2018-08-29 15:20发布,32.7℃,0mm,东北风,微风,37%
海淀,更新于：2018-08-29 15:20发布,33.5℃,0mm,东北风,微风,35%
丰台,更新于：2018-08-29 15:20发布,33.6℃,0mm,东南风,微风,31%
朝阳,更新于：2018-08-29 15:20发布,32.3℃,0mm,东北风,微风,37%
北京,更新于：2018-08-29 16:20发布,31.5℃,0mm,东北风,3级,35%
延庆,更新于：2018-08-29 16:20发布,30.3℃,0mm,西北风,微风,35%
通州,更新于：2018-08-29 16:20发布,30.9℃,0mm,东北风,微风,39%
顺义,更新于：2018-08-29 16:20发布,31.7℃,0mm,东北风,微风,35%
平谷,更新于：2018-08-29 16:20发布,31.3℃,0mm,东南风,微风,40%
密云,更新于：2018-08-29 16:20发布,31.2℃,0mm,东北风,微风,40%
门头沟,更新于：2018-08-29 16:20发布,32.5℃,0mm,东北风,微风,33%
怀柔,更新于：2018-08-29 16:20发布,31℃,0mm,东南风,微风,38%
房山,更新于：2018-08-29 16:20发布,33.1℃,0mm,东北风,微风,32%
大兴,更新于：2018-08-29 16:20发布,31.6℃,0mm,东北风,微风,35%
昌平,更新于：2018-08-29 16:20发布,31.9℃,0mm,东南风,3级,36%
石景山,更新于：2018-08-29 16:20发布,32.4℃,0mm,东北风,微风,34%
海淀,更新于：2018-08-29 16:20发布,32.8℃,0mm,东北风,微风,33%
丰台,更新于：2018-08-29 16:20发布,33.5℃,0mm,东南风,微风,31%
朝阳,更新于：2018-08-29 16:20发布,31.4℃,0mm,东北风,微风,38%
北京,更新于：2018-08-29 17:20发布,31.1℃,0mm,东北风,微风,36%
延庆,更新于：2018-08-29 17:20发布,28.2℃,0mm,东南风,微风,43%
通州,更新于：2018-08-29 17:20发布,29.7℃,0mm,东南风,微风,47%
顺义,更新于：2018-08-29 17:20发布,31.3℃,0mm,东北风,微风,34%
平谷,更新于：2018-08-29 17:20发布,30.7℃,0mm,东南风,微风,45%
密云,更新于：2018-08-29 17:20发布,30.9℃,0mm,东北风,微风,41%
门头沟,更新于：2018-08-29 17:20发布,31.8℃,0mm,东北风,微风,33%
怀柔,更新于：2018-08-29 17:20发布,31℃,0mm,东北风,微风,39%
房山,更新于：2018-08-29 17:20发布,31.5℃,0mm,东南风,微风,35%
大兴,更新于：2018-08-29 17:20发布,31.1℃,0mm,东北风,微风,36%
昌平,更新于：2018-08-29 17:20发布,31.3℃,0mm,东南风,微风,36%
石景山,更新于：2018-08-29 17:20发布,31.6℃,0mm,东北风,微风,36%
海淀,更新于：2018-08-29 17:20发布,32℃,0mm,东南风,微风,37%
丰台,更新于：2018-08-29 17:20发布,32.5℃,0mm,东风,3级,34%
朝阳,更新于：2018-08-29 17:20发布,31.2℃,0mm,东北风,微风,38%
北京,更新于：2018-08-29 18:10发布,30℃,0mm,东南风,微风,41%
延庆,更新于：2018-08-29 18:10发布,26.6℃,0mm,东南风,微风,47%
通州,更新于：2018-08-29 18:10发布,28.4℃,0mm,东南风,微风,53%
顺义,更新于：2018-08-29 18:10发布,30.5℃,0mm,东南风,微风,40%
平谷,更新于：2018-08-29 18:10发布,29.7℃,0mm,东南风,微风,47%
密云,更新于：2018-08-29 18:10发布,28.1℃,0mm,东南风,微风,53%
门头沟,更新于：2018-08-29 18:10发布,30.7℃,0mm,东南风,微风,37%
怀柔,更新于：2018-08-29 18:10发布,29.6℃,0mm,东北风,微风,45%
房山,更新于：2018-08-29 18:10发布,30.4℃,0mm,东北风,微风,39%
大兴,更新于：2018-08-29 18:10发布,29.1℃,0mm,东南风,微风,45%
昌平,更新于：2018-08-29 18:10发布,30.5℃,0mm,东南风,微风,37%
石景山,更新于：2018-08-29 18:10发布,30.2℃,0mm,东南风,微风,39%
海淀,更新于：2018-08-29 18:10发布,29.8℃,0mm,东南风,微风,41%
丰台,更新于：2018-08-29 18:10发布,31.5℃,0mm,东南风,微风,34%
朝阳,更新于：2018-08-29 18:10发布,30.4℃,0mm,东南风,微风,39%
北京,更新于：2018-08-29 21:20发布,26.3℃,0mm,西南风,微风,56%
延庆,更新于：2018-08-29 21:20发布,23.6℃,0mm,东北风,微风,57%
通州,更新于：2018-08-29 21:20发布,21.9℃,0mm,西南风,微风,92%
顺义,更新于：2018-08-29 21:20发布,25.3℃,0mm,-,-,67%
平谷,更新于：2018-08-29 21:20发布,22.8℃,0mm,东北风,微风,82%
密云,更新于：2018-08-29 21:20发布,22.5℃,0mm,-,-,88%
门头沟,更新于：2018-08-29 21:20发布,25.7℃,0mm,西南风,微风,58%
怀柔,更新于：2018-08-29 21:20发布,23.6℃,0mm,西南风,微风,75%
房山,更新于：2018-08-29 21:20发布,23.4℃,0mm,西北风,微风,74%
大兴,更新于：2018-08-29 21:20发布,23℃,0mm,西南风,微风,71%
昌平,更新于：2018-08-29 21:20发布,25℃,0mm,西北风,微风,62%
石景山,更新于：2018-08-29 21:20发布,25.3℃,0mm,西北风,微风,60%
海淀,更新于：2018-08-29 21:20发布,25.8℃,0mm,西南风,微风,65%
丰台,更新于：2018-08-29 21:20发布,25.5℃,0mm,西北风,微风,63%
朝阳,更新于：2018-08-29 21:20发布,27.6℃,0mm,西南风,微风,53%
北京,更新于：2018-08-29 22:20发布,25.1℃,0mm,西南风,微风,62%
延庆,更新于：2018-08-29 22:20发布,22.5℃,0mm,东北风,微风,68%
通州,更新于：2018-08-29 22:20发布,21.3℃,0mm,-,-,95%
顺义,更新于：2018-08-29 22:20发布,24.5℃,0mm,西北风,微风,71%
平谷,更新于：2018-08-29 22:20发布,22.7℃,0mm,东北风,微风,78%
密云,更新于：2018-08-29 22:20发布,21.3℃,0mm,-,-,93%
门头沟,更新于：2018-08-29 22:20发布,24.3℃,0mm,西北风,微风,67%
怀柔,更新于：2018-08-29 22:20发布,22.9℃,0mm,东南风,微风,81%
房山,更新于：2018-08-29 22:20发布,22.5℃,0mm,西北风,微风,82%
大兴,更新于：2018-08-29 22:20发布,22.2℃,0mm,西南风,微风,76%
昌平,更新于：2018-08-29 22:20发布,23.9℃,0mm,东北风,微风,66%
石景山,更新于：2018-08-29 22:20发布,24.6℃,0mm,东南风,微风,62%
海淀,更新于：2018-08-29 22:20发布,23.3℃,0mm,-,-,76%
丰台,更新于：2018-08-29 22:20发布,24.1℃,0mm,西风,微风,68%
朝阳,更新于：2018-08-29 22:20发布,27.1℃,0mm,西南风,微风,55%
北京,更新于：2018-08-29 23:20发布,25℃,0mm,西南风,微风,62%
延庆,更新于：2018-08-29 23:20发布,22.4℃,0mm,-,-,64%
通州,更新于：2018-08-29 23:20发布,21.3℃,0mm,-,-,95%
顺义,更新于：2018-08-29 23:20发布,24.9℃,0mm,东北风,微风,70%
平谷,更新于：2018-08-29 23:20发布,22.6℃,0mm,东北风,微风,78%
密云,更新于：2018-08-29 23:20发布,21.4℃,0mm,东北风,微风,92%
门头沟,更新于：2018-08-29 23:20发布,23.4℃,0mm,西南风,微风,76%
怀柔,更新于：2018-08-29 23:20发布,22℃,0mm,西南风,微风,88%
房山,更新于：2018-08-29 23:20发布,22℃,0mm,西北风,微风,84%
大兴,更新于：2018-08-29 23:20发布,22.5℃,0mm,东南风,微风,75%
昌平,更新于：2018-08-29 23:20发布,24.6℃,0mm,东北风,微风,62%
石景山,更新于：2018-08-29 23:20发布,23.8℃,0mm,西南风,微风,67%
海淀,更新于：2018-08-29 23:20发布,22.9℃,0mm,-,-,77%
丰台,更新于：2018-08-29 23:20发布,23.4℃,0mm,西北风,微风,77%
朝阳,更新于：2018-08-29 23:20发布,26.7℃,0mm,西南风,微风,58%
北京,更新于：2018-08-30 00:20发布,24.7℃,0mm,西南风,微风,66%
延庆,更新于：2018-08-30 00:20发布,21.8℃,0mm,东北风,微风,68%
通州,更新于：2018-08-30 00:20发布,20.9℃,0mm,东南风,微风,97%
顺义,更新于：2018-08-30 00:20发布,24.9℃,0mm,东南风,微风,69%
平谷,更新于：2018-08-30 00:20发布,22.1℃,0mm,东北风,微风,82%
密云,更新于：2018-08-30 00:20发布,21.7℃,0mm,东北风,微风,89%
门头沟,更新于：2018-08-30 00:20发布,23.2℃,0mm,西南风,微风,70%
怀柔,更新于：2018-08-30 00:20发布,21.7℃,0mm,西北风,微风,87%
房山,更新于：2018-08-30 00:20发布,22℃,0mm,西南风,微风,85%
大兴,更新于：2018-08-30 00:20发布,23℃,0mm,西南风,微风,75%
昌平,更新于：2018-08-30 00:20发布,24.7℃,0mm,西北风,微风,61%
石景山,更新于：2018-08-30 00:20发布,23.9℃,0mm,东南风,微风,67%
海淀,更新于：2018-08-30 00:20发布,23℃,0mm,-,-,82%
丰台,更新于：2018-08-30 00:20发布,24.3℃,0mm,西南风,微风,70%
朝阳,更新于：2018-08-30 00:20发布,26.6℃,0mm,西南风,微风,57%
北京,更新于：2018-08-30 01:20发布,24.4℃,0mm,西南风,微风,67%
延庆,更新于：2018-08-30 01:20发布,21℃,0mm,东北风,微风,73%
通州,更新于：2018-08-30 01:20发布,21.1℃,0mm,东南风,微风,98%
顺义,更新于：2018-08-30 01:20发布,24.7℃,0mm,东南风,微风,71%
平谷,更新于：2018-08-30 01:20发布,22.1℃,0mm,东北风,微风,82%
密云,更新于：2018-08-30 01:20发布,21.8℃,0mm,西北风,微风,89%
门头沟,更新于：2018-08-30 01:20发布,23.1℃,0mm,东南风,微风,72%
怀柔,更新于：2018-08-30 01:20发布,22℃,0mm,西北风,微风,86%
房山,更新于：2018-08-30 01:20发布,22.3℃,0mm,西南风,微风,83%
大兴,更新于：2018-08-30 01:20发布,23.2℃,0mm,-,-,75%
昌平,更新于：2018-08-30 01:20发布,23.6℃,0mm,西北风,微风,68%
石景山,更新于：2018-08-30 01:20发布,24℃,0mm,东北风,微风,71%
海淀,更新于：2018-08-30 01:20发布,23℃,0mm,-,-,81%
丰台,更新于：2018-08-30 01:20发布,24.2℃,0mm,西南风,微风,70%
朝阳,更新于：2018-08-30 01:20发布,25.8℃,0mm,西南风,微风,61%
北京,更新于：2018-08-30 02:20发布,24.2℃,0mm,西南风,微风,70%
延庆,更新于：2018-08-30 02:20发布,20.9℃,0mm,东南风,微风,75%
通州,更新于：2018-08-30 02:20发布,20.9℃,0mm,-,-,98%
顺义,更新于：2018-08-30 02:20发布,24.4℃,0mm,东南风,微风,73%
平谷,更新于：2018-08-30 02:20发布,22.1℃,0mm,东北风,微风,83%
密云,更新于：2018-08-30 02:20发布,21.2℃,0mm,东北风,微风,94%
门头沟,更新于：2018-08-30 02:20发布,22.8℃,0mm,东南风,微风,72%
怀柔,更新于：2018-08-30 02:20发布,22.1℃,0mm,西北风,微风,88%
房山,更新于：2018-08-30 02:20发布,21.7℃,0mm,东北风,微风,88%
大兴,更新于：2018-08-30 02:20发布,21.6℃,0mm,东南风,微风,84%
昌平,更新于：2018-08-30 02:20发布,23.8℃,0mm,东北风,微风,67%
石景山,更新于：2018-08-30 02:20发布,24.1℃,0mm,东南风,微风,68%
海淀,更新于：2018-08-30 02:20发布,23.3℃,0mm,西南风,微风,77%
丰台,更新于：2018-08-30 02:20发布,24℃,0mm,东南风,微风,72%
朝阳,更新于：2018-08-30 02:20发布,25.8℃,0mm,西南风,微风,63%
北京,更新于：2018-08-30 03:20发布,23.4℃,0mm,西南风,微风,75%
延庆,更新于：2018-08-30 03:20发布,20.8℃,0mm,东北风,微风,74%
通州,更新于：2018-08-30 03:20发布,20.9℃,0mm,东南风,微风,98%
顺义,更新于：2018-08-30 03:20发布,23.3℃,0mm,东北风,微风,81%
平谷,更新于：2018-08-30 03:20发布,22℃,0mm,东北风,微风,86%
密云,更新于：2018-08-30 03:20发布,21.3℃,0mm,-,-,95%
门头沟,更新于：2018-08-30 03:20发布,22.6℃,0mm,东北风,微风,74%
怀柔,更新于：2018-08-30 03:20发布,22.3℃,0mm,西北风,微风,86%
房山,更新于：2018-08-30 03:20发布,22.6℃,0mm,西南风,微风,84%
大兴,更新于：2018-08-30 03:20发布,21.5℃,0mm,东南风,微风,86%
昌平,更新于：2018-08-30 03:20发布,23.1℃,0mm,东北风,微风,70%
石景山,更新于：2018-08-30 03:20发布,23.9℃,0mm,西南风,微风,69%
海淀,更新于：2018-08-30 03:20发布,23.2℃,0mm,东北风,微风,79%
